idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1003501559,Afl,1740,,,"Monumenta typographica, quae artis hujus praestantissimae originen, laudem et abusum posteris produnt",1,,,,,,
1003501591,Afl,1740,,,"Monumenta typographica, quae artis hujus praestantissimae originen, laudem et abusum posteris produnt",2,,,,,,
1003516750,Aal,1755,Catalogus bibliothecae Woogianae auctionis lege Dresdae die 27. Octobr. seqq. 1755 distrahendae,,,,,,,,,
1003546528,Aal,1789,"Bibliotheca Moguntina libris saeculo primo typographice Moguntinae impressus instructa, hinc inde add. inventae typographia",,,,,,,,,
1003560180,Aal,1772,"[Brief an] Monsieur Knauer, conseiller de la Cour du Comte Reuß, Comte et Seigneur de Plauen pp. à Lobenstein [betr. Papierlieferung des für das Hochgräfl. Amt Lobenstein bestallten Papierers Paul]",,,,,,,,,
1003585248,Aal,1561,"Libellus valde doctus elegans, et utilis, multa et varia seribendarum literarum genera complectens",,,,,,,,,
1003598099,Afl,1793,,,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,Tafelbd.,,,,,,
1003598099,Afl,1793,,,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,Teil 1,Systematische Anweisung zum Schönschreiben,,,,,
1003623824,Aal,1550,[Arte subtilissima],,,,,,,,,
1003652255,Aal,1778,Annales typographiae Augustanae ab eius origine MCCCCLXVI. usque ad annum MDXXX,,,,,,,,,
1003652336,Afl,1795,Zapf,Georg W.,Augsburgische Bibliothek,1,,,,,,
1003652344,Afl,1795,Zapf,Georg W.,Augsburgische Bibliothek,2,,,,,,
1003652379,Aal,1790,Aelteste Buchdruckergeschichte von Mainz von derselben Erfindung bis auf das Jahr 1499,,,,,,,,,
1003652425,Aal,1791,Georg Wilhelm Zapfs älteste Buchdruckergeschichte Schwabens,"oder Verzeichniß aller ... bis 1500 in Ulm, Eßlingen, Reutlingen, Memmingen, Stuttgart, Tübingen, Urach, Blaubeuren u. Costanz gedruckten Bücher m. litterar. Anm.",,,,,,,,
100365245X,Afl,1786,Zapf,Georg W.,Augsburgs Buchdruckergeschichte nebst den Jahrbüchern derselben,1.,V. J. 1468. bis auf d. J. 1500,,,,,
1003652468,Afl,1791,Zapf,Georg W.,Augsburgs Buchdruckergeschichte nebst den Jahrbüchern derselben,2.,V. J. 1501 bis auf d. J. 1530,,,,,
1003652557,Afl,1787,Zapf,Georg W.,Merkwürdigkeiten der Japanischen Bibliothek,1,,,,,,
1003652573,Afl,1787,Zapf,Georg W.,Merkwürdigkeiten der Japanischen Bibliothek,2,,,,,,
1003652697,Aal,1812,"Verzeichnis der ansehnlichen und auserlesenen Büchersammlung des verstorbenen Georg Wilhelm Zapf, welche 1812 ... in Augsburg ... verkauft werden soll",[Auktionskatalog],,,,,,,,
1003683894,Aal,1725,Christliche Leich-Predigt ...,"[Leichenpredigt auf Theodor Metzler, Buchhändler zu Tübingen, gestorben 19.12.1724 u. dessen Frau Schwieger Anna Maria Stolle]",,,,,,,,
1003700403,Aal,1727,"Kurz-gefaßte Historie der gedruckten Bibel-Version und anderer Schriften D. Mart. Lutheri, in der Beschreibung des Lebens und fatorum Hanns Luffts, berühmten Buchdruckers und Händlers zu Wittenberg, auch anderer dasigen und benach barten typographorum",,,,,,,,,
100374933X,Aal,1767,[Zollabgaben],"... wie, durch Erleichterung der Zoll-Abgaben, diesem gemeinnützlichen Endzweck sich etwann am wircksamsten genähert werden könnte: ... [Erlaß des] Senatus [v.] Nürnberg, 15. Dez. 1767",,,,,,,,
1003759076,Aal,1743,Petri Zornii Historia bibliorum pictorum ex antiquitatibus Ebraeorum et christianorum illustrata,von denen zur Historie derer Bilder-Bibeln sonderlich gehörigen Alterthümern,,,,,,,,
1003826709,Aal,1780,[Schreibmeisterbuch],,,,,,,,,
