idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
1003048722,Aal,1940,Leipzig als Buch- und Druckstadt,das Werk Gutenbergs in Mainz,,,,,,,,,in: 1440 - 1940. (... Programme d. Leipziger Theater. 21.-23.6.1940. Hrsg. v. Oberbürgermeister d. Reichsmessestadt.) Leipzig 1940
1003150462,Aal,1604,"Iustiniani imperatoris vita, ex variis auctoribus opera Aegidii Perrini",,,,,,,,,,"in: Corpus iuris civilis. Institutiones. Imp. Iustiniani institutionum ..., libri quatuor. Lyon: Horatius Cardon 1604. 2°"
1003171192,Aal,1698,"Lipsia paradisus, hoc est collatio Academiae Lipsiensis cum paradiso, in memoriam reformationis secularis ...",,,,,,,,,,in: Weber: Evangelische Leipzig oder kurtzer Bericht von der Stadt Leipzig Reformation und Bekehrung ... 1698
100317339X,Aal,1901,Euryanthe,,,,,,,,,,in: Weber: Der Freischütz
1003174264,Aal,1901,Oberon,,,,,,,,,,in: Weber: Der Freischütz
1003175333,Aal,1782,Stammtafel der Familie Wechel in Frankfurt a.M.,,,,,,,,,,in: Das Hanauische Magazin. 1782 u. 1785. [Abschr.]
1003193889,Aal,1942,Bilder aus dem Kalender des Albrecht Glockendon des Jahres 1526 nach dem Besitze der Preußischen Staatsbibliothek befindlichen Original,,,,,,,,,,in: Zeitgloecklein. 1942
1003251633,Aal,1937,Einführung in die Literatur zur Geschichtsschreibung des deutschen Buchhandels,,,,,,,,,,"in: Der deutsche Buchhandlungsgehilfe. Jg. 5. 1937, Nr. 2"
1003261892,Aal,1740,"Die @Glückseeligkeit, so aus dem funfzehenden Jahrhundert sich über die folgende Zeiten ausgebreitet",,,,,,,,,,in: Stargardisches Buchdruckerjubilaeum wie es im hiesigen illustren Gröningischen Collegio wegen der vor dreyhundert Jahren erfundenen edlen Buchdrucker-Kunst ... begangen worden
1003272215,Aal,1554,Epistolae contrariae,,,,,,,,,,"in: Melanchthon, Philipp: Elementorum rhetorices libri duo"
1003287026,Aal,1943,Maßsystem und Schrift,,,,,,,,,,in: Wetzl: Einrichtung und Arbeitsgeräte in der Setzerei. 1943
100328714X,Aal,1943,Der @Titelbogen,,,,,,,,,,in: Wetzl: Das Buch
1003294642,Aal,1930,A @latin Sermon,,,,,,,,,,in: A short History of the [Sion] College
1003294898,Aal,1909,Künstlerische Schriftformen und Schreibwerkzeuge,,,,,,,,,,"in: Das Schriftmuseum von Heintze & Blanckertz, Berlin. [Abt.] Kunstschrift. [Sammelhefter]"
1003324657,Aal,1786,Wie dachte Luther ueber den Buecher-Nachdruck?,,,,,,,,,,in: Berlinische Monatsschrift. Bd. 8. 1786
1003348408,Aal,1940,"In Nürnberg bei Christoph Weigel entstandene Monatsbilder von Caspar Luyken, eingel.",,,,,,,,,,in: Zeitglöcklein. 1940
1003373356,Aal,1656,"[Ordnung und Reformation, ... wie es in unsern Fürstenthumben ... im Kirchen-Regiment ... gehalten werden sol]",,,,,,,,,,"in: Agenda, das ist: Kirchen Ordnung, wie es im Fürstenthumb Hessen mit Verkündigung göttlichen Worts ... gehalten werden soll. 1657"
1003374441,Aal,1657,"Ordnung, ... wie es mit unserem zu Cassel besteltem Consistorio ... gehalten ... werden soll",,,,,,,,,,"in: Agenda, das ist: Kirchen Ordnung, wie es im Fürstenthumb Hessen mit Verkündigung göttlichen Worts ... gehalten werden soll"
1003374697,Aal,1658,Presbyterial- oder Eltisten-Ordnung,,,,,,,,,,"in: Agenda, das ist: Kirchen Ordnung, wie es Fürstenthumb Hessen mit Verkündigung göttlichen Worts ... gehalten werden soll. 1657"
1003405649,Aal,1959,Decreti Gratiani Incunabula,Beschreibendes Gesamtverzeichnis der Wiegendrucke des Gratianischen Dekretes,,,,,,,,,in: Studia Gratiana. 6
100340586X,Aal,1759,Kurze Geschichte der Altdorfischen Buchdruckerei,,,,,,,,,,"in: Museum Noricum. Altdorf 1759, Nr. 4, S. 25 - 32"
1003406874,Aal,1694,"Warhafftiger und gründlicher Bericht von der Wünschel-Ruthen, wie solche vor einigen Jahren zu Sulza an der Ilmen, bey Ausgehung eines Saltzquells ... gebraucht worden",,,,,,,,,,"in: Der heimliche und unerforschliche Natur-Kuendiger, oder accurate Beschreibung von der Wünschel-Ruthe"
1003408095,Aal,1726,In Cantica canticorum paraphrasis gemina,acc. varia lectiones ... Johannis Schilteri nec non Johannis Georgii Scherzii,,,,,,,,,"in: Schilter, Johannes: Thesaurus antiquitatum Teutonicarum ... T. 1. 1728"
1003427502,Aal,1779,"Von märkischen Formschneidern und in der Mark gedruckten Büchern, in welchen sich Holzschnitte befinden",,,,,,,,,,"in: Unger, Johann Friedrich Gottlieb: Sechs Figuren für die Liebhaber der schönen Künste, in Holz geschnitten"
100344380X,Aal,1930,Justiz und Presse,"Vortrag ; Gehalten anl. d. Tagung: ""Behörde und Presse"" im Forschungsinstitut für internationales Pressewesen, Köln, am 4. Juli 1930",,,,,,,,,"in: Claren, Gerhard: Justiz und Presse"
1003474004,Aal,1900,Industrie du livre,,,,,,,,,,in: Exposition universelle de 1900. Catalogue officiel de la Section Allemande. (Berlin 1900: Impr. Impér.) 8°
1003515894,Aal,1835,"Threehundredandfifty years Retrospection of an old bookseller; containing an account of the origin and progress of printing, type founding, and engraving, in their various branches; also the origin of the earliest books, pamphlets, magazines, reviews, periodical essays and newspapers; with biographical anecdotes a. portraits        ",,,,,,,,,,in: [Woodfall:] Fifty years Recollections of an old bookseller. 1837
1003559913,Aal,1684,Depositio Cornuti Typographici,"das ist Lust=oder Freuden=Spiel, welches bey Annehmung und Bestättigung eines Jungen Gesellen, der die Edle Kunst Buchdruckerey redlich hat ausgelernet ohne einige Aergernüsse kan agiret u. fürgestellet werden",,,,,,,,,"in: Schmatz, Daniel Michael: Neu=vorgestelltes ... Format-Buch. 1984; nicht im VD17"
1003586759,Aal,1822,Vita Davidis Ruhnkenii,,,,,,,,,,in: Vitae duumvirorum Tiberii Hemsterhusii et Davidis Ruhnkenii
1003652751,Aal,1898,Nachrichten über die [Kölner] Drucker,,,,,,,,,,"in: Heitz, Paul: Die Kölner Büchermarken bis Anfang des 17. Jahrhunderts. 1898"
1003653189,Aal,1908,Die @42zeilige Bibeltype im Schöfferschen Missale Moguntinum von 1493,,,,,,,,,,in: Veröffentlichungen der Gutenberg-Gesellschaft. 5 - 7
1003659756,Aal,1925,Künstlerische Buchreklame,,,,,,,,,,"in: Kliemann, Horst: Die Werbung fürs Buch. 1925"
1003660622,Aal,1927,Die @Kultur des Bucheinbandes,,,,,,,,,,"in: Zeitler: 75 Jahre Gebr. Hoffmann, Großbuchbinderei"
1003666809,Aal,1928,"Newe zeittung von dem lande, das die Sponier funden haben ym 1521 iare, genant Jucatan",,,,,,,,,,"in: Bockwitz, Hans Heinrich Zur ʺNeuen Zeitungʺ aus dem Lande Jucatan vom Jahre 1522"
1003700934,Aal,1727,"Kurtze Nachricht von dem Leben und Fatis Hanns Luffts, berühmten Buchdruckers zu Wittenberg",,,,,,,,,,"in: Moller, Daniel Wilhelm: Dissertatio de Typographia. 1727"
100373989X,Aal,1909,Einführung,[Die Bedeutung auf dem Gebiete der Druckkunst ... betr. die neue Buchkunstbewegung],,,,,,,,,in: Gebr. Klingspor: Liturgisch. Nach Zeichnungen von Otto Hupp. Offenbach a.M. [1909.] 4° [Schriftprobenhand]
1003837662,Aal,1688,"Cosmographiae sive Atlantis majoris, tam Blaviani quam Janssoniani, brevis conspectus",,,,,,,,,,"in: Beughem, Cornelis à: Bibliographia mathematica et artificiosa novissima ..."
1003896898,Aal,1801,"[Handschriftliche Notiz, Wielands sämtliche Werke betreffend]",,,,,,,,,,"in: Göschen, Georg Joachim: Verlags-Bücher bey ..., Buchhändler zu Leipzig. Oster-Messe 1801. kl. 8°"
